Age,Tm,Lg,G_reg,W_reg,L_reg,W/L%_reg,W > .500,Finish,G_playoff,W_playoff,L_playoff,W/L%_playoff,Notes,coachName,coach_id,seasonStartYear,coachType
51,MIA,NBA,61,40,21,0.656,9.5,1,,,,,,Erik Spoelstra,112,2021,Head Coach
64,NYK,NBA,60,25,35,0.417,-5,5,,,,,,Tom Thibodeau,124,2021,Head Coach
48,LAL,NBA,59,27,32,0.458,-2.5,4,,,,,,Frank Vogel,125,2021,Head Coach
50,PHO,NBA,60,49,11,0.817,19,1,,,,,,Monty Williams,126,2021,Head Coach
52,MIL,NBA,61,36,25,0.59,5.5,3,,,,,,Mike Budenholzer,133,2021,Head Coach
48,DAL,NBA,60,35,25,0.583,5,2,,,,,,Jason Kidd,135,2021,Head Coach
51,DEN,NBA,60,35,25,0.583,5,2,,,,,,Michael Malone,142,2021,Head Coach
56,GSW,NBA,60,43,17,0.717,13,2,,,,,,Steve Kerr,145,2021,Head Coach
44,CHO,NBA,61,30,31,0.492,-0.5,2,,,,,,James Borrego,147,2021,Head Coach
55,UTA,NBA,59,37,22,0.627,7.5,1,,,,,,Quin Snyder,148,2021,Head Coach
44,LAC,NBA,62,31,31,0.5,0,3,,,,,,Tyronn Lue,151,2021,Head Coach
42,CLE,NBA,60,36,24,0.6,6,2,,,,,,J.B. Bickerstaff,152,2021,Head Coach
56,CHI,NBA,61,39,22,0.639,8.5,1,,,,,,Billy Donovan,153,2021,Head Coach
41,SAC,NBA,17,6,11,0.353,-2.5,5,,,,,,Luke Walton,156,2021,Head Coach
54,TOR,NBA,59,32,27,0.542,2.5,3,,,,,,Nick Nurse,163,2021,Head Coach
37,MEM,NBA,62,42,20,0.677,11,1,,,,,,Taylor Jenkins,165,2021,Head Coach
