playerName,From,To,Pos,Ht,Wt,birthDate,Colleges
Al Attles,1961,1971,G,1-Jun,175,11/7/1936,North Carolina A&T
Al Beard,1968,1968,C,9-Jun,200,4/27/1942,Norfolk State
Al Bianchi,1957,1966,G,3-Jun,185,3/26/1932,Bowling Green
Al Brightman,1947,1947,F,2-Jun,195,9/22/1923,University of Charleston
Al Butler,1962,1965,G,2-Jun,175,7/9/1938,Niagara University
Al Carlson,1976,1976,C,11-Jun,235,9/17/1951,Oregon
Al Cervi*,1950,1953,G-F,11-May,170,2/12/1917,
Al Cueto,1970,1971,C-F,7-Jun,230,8/2/1946,Tulsa
Al Eberhard,1975,1978,F,6-Jun,225,5/10/1952,Missouri
Al Ferrari,1956,1963,G-F,4-Jun,190,7/6/1933,Michigan State
Al Fleming,1978,1978,F,7-Jun,215,4/5/1954,Arizona
Al Guokas,1950,1950,F-G,5-Jun,200,8/7/1925,Saint Joseph's
Al Hairston,1969,1970,G,1-Jun,170,12/11/1945,Bowling Green
Al Harrington,1999,2014,F,9-Jun,230,2/17/1980,
Al Henry,1971,1972,C,9-Jun,190,2/9/1949,Wisconsin
Al Horford,2008,2022,C-F,9-Jun,240,6/3/1986,Florida
Al Jackson,1968,1968,G,1-Jun,185,7/29/1943,Wilberforce University
Al Jefferson,2005,2018,C-F,10-Jun,289,1/4/1985,
Al Lucas,1949,1949,F-G,3-Jun,195,7/4/1922,Fordham
Al Lujack,1947,1947,F,3-Jun,220,10/5/1920,Georgetown
Al Masino,1953,1954,G,10-May,174,2/5/1928,Canisius
Al Miksis,1950,1950,C,7-Jun,210,2/2/1928,Western Illinois University
Al Negratti,1947,1947,F-C,3-Jun,200,6/12/1921,Seton Hall
Al Roges,1954,1955,G-F,4-Jun,195,10/25/1930,Long Island University
Al Salvadori,1968,1968,F,9-Jun,220,5/6/1945,South Carolina
Al Sanders,1973,1973,F,7-Jun,240,1/1/1950,LSU
Al Skinner,1975,1980,G,3-Jun,190,6/16/1952,UMass
Al Smith,1972,1976,G,1-Jun,185,1/15/1947,Bradley
Al Thornton,2008,2011,F,8-Jun,220,12/7/1983,Florida State
Al Tucker,1968,1972,F,8-Jun,190,2/24/1943,Oklahoma Baptist University
Al Williams,1971,1971,F,6-Jun,200,2/3/1948,Drake University
Al Wood,1982,1987,G-F,6-Jun,193,6/2/1958,UNC
Alaa Abdelnaby,1991,1995,F-C,10-Jun,240,6/24/1968,Duke
Alan Anderson,2006,2017,G-F,6-Jun,220,10/16/1982,Michigan State
Alan Hardy,1981,1982,F,7-Jun,195,5/25/1957,Michigan
Alan Henderson,1996,2007,F,9-Jun,235,12/2/1972,Indiana
Alan Ogg,1991,1993,C,2-Jul,240,7/5/1967,UAB
Alan Sawyer,1951,1951,F,5-Jun,195,1/1/1928,UCLA
Alan Williams,2016,2019,F-C,8-Jun,265,1/28/1993,UC Santa Barbara
Alando Tucker,2008,2010,F,6-Jun,205,2/11/1984,Wisconsin
Albert King,1982,1992,F-G,6-Jun,190,12/17/1959,Maryland
Alec Burks,2012,2022,G,6-Jun,214,7/20/1991,Colorado
Alec Kessler,1991,1994,F-C,11-Jun,230,1/13/1967,Georgia
Alec Peters,2018,2018,F,9-Jun,232,4/13/1995,Valparaiso
Aleem Ford,2022,2022,F,8-Jun,220,12/22/1997,Wisconsin
Aleksandar Djordjevic,1997,1997,G,2-Jun,198,8/26/1967,
Aleksej Pokusevski,2021,2022,F,1-Jul,190,12/26/2001,
Alex Acker,2006,2009,G,5-Jun,185,1/21/1983,Pepperdine
Alex Blackwell,1993,1993,F,6-Jun,250,6/27/1970,Monmouth University
Alex Bradley,1982,1982,F,6-Jun,215,10/30/1959,Villanova
Alex Caruso,2018,2022,G,4-Jun,186,2/28/1994,Texas A&M
Alex English,1977,1991,F,7-Jun,190,1/5/1954,South Carolina
Alex Garcia,2004,2005,G,3-Jun,220,3/4/1980,
Alex Groza,1950,1951,C,7-Jun,218,10/7/1926,Kentucky
Alex Hannum,1950,1957,F-C,7-Jun,210,7/19/1923,USC
Alex Kirk,2015,2015,C,1-Jul,245,11/14/1991,New Mexico
Alex Len,2014,2022,C,1-Jul,250,6/16/1993,Maryland
Alex Poythress,2017,2019,F,9-Jun,235,9/6/1993,Kentucky
Alex Scales,2006,2006,G,4-Jun,185,7/3/1978,Oregon
Alex Stepheson,2016,2016,F,10-Jun,270,8/7/1987,"UNC, USC"
Alex Stivrins,1986,1993,F,8-Jun,220,11/29/1962,"Creighton, Colorado"
Alexander Johnson,2007,2008,F,9-Jun,240,2/8/1983,Florida State
Alexander Volkov,1990,1992,C,10-Jun,218,3/28/1964,
Alexey Shved,2013,2015,G,6-Jun,190,12/16/1988,
Al-Farouq Aminu,2011,2021,F,8-Jun,220,9/21/1990,Wake Forest
Alfonzo McKinnie,2018,2022,F,7-Jun,215,9/17/1992,Green Bay
Alfred McGuire,1952,1955,G-F,2-Jun,180,9/7/1928,St. John's
Alfredrick Hughes,1986,1986,F-G,5-Jun,215,7/19/1962,Loyola Chicago
Alize Johnson,2019,2022,F,7-Jun,212,4/22/1996,Missouri State
Allan Bristow,1974,1983,F-G,7-Jun,210,8/23/1951,Virginia Tech
Allan Houston,1994,2005,G,6-Jun,200,4/20/1971,Tennessee
Allan Ray,2007,2007,G,2-Jun,190,6/17/1984,Villanova
Allen Crabbe,2014,2020,G-F,5-Jun,212,4/9/1992,California
Allen Iverson,1997,2010,G,1-Jun,165,6/7/1975,Georgetown
Allen Leavell,1980,1989,G,1-Jun,170,5/27/1957,Oklahoma City University
Allen Murphy,1976,1977,G,5-Jun,190,7/15/1952,Louisville
Allie McGuire,1974,1974,G,3-Jun,175,7/10/1951,Marquette
Allonzo Trier,2019,2020,G,4-Jun,200,1/17/1996,Arizona
Alonzo Bradley,1978,1980,F,6-Jun,190,10/16/1953,Texas Southern
Alonzo Gee,2010,2017,G,6-Jun,225,5/29/1987,Alabama
Alonzo Mourning,1993,2008,C,10-Jun,240,2/8/1970,Georgetown
Alphonso Ford,1994,1995,G,1-Jun,190,10/31/1971,Mississippi Valley State University
Alton Ford,2002,2004,F,9-Jun,275,5/29/1981,Houston
Alton Lister,1982,1998,C-F,1-Jul,240,10/1/1958,Arizona State
Alvan Adams,1976,1988,C-F,9-Jun,210,7/19/1954,Oklahoma
Alvin Heggs,1996,1996,F,8-Jun,225,12/12/1967,Texas
Alvin Jones,2002,2002,C,11-Jun,265,9/9/1978,Georgia Tech
Alvin Robertson,1985,1996,G,4-Jun,185,7/22/1962,Arkansas
Alvin Scott,1978,1985,F-G,7-Jun,185,9/14/1955,Oral Roberts
Alvin Sims,1999,1999,G,4-Jun,235,10/18/1974,Louisville
Alvin Williams,1998,2007,G,5-Jun,185,8/6/1974,Villanova
Amal McCaskill,1997,2004,F-C,11-Jun,235,10/28/1973,Marquette
Amar'e Stoudemire,2003,2016,F-C,10-Jun,245,11/16/1982,
Amida Brimah,2021,2021,C,10-Jun,230,2/11/1994,UConn
Amile Jefferson,2019,2020,F,9-Jun,222,5/7/1993,Duke
Amir Coffey,2020,2022,G,7-Jun,210,6/17/1997,Minnesota
Amir Johnson,2006,2019,F-C,9-Jun,240,5/1/1987,
Andrae Patterson,1999,2000,F,9-Jun,238,11/12/1975,Indiana
Andray Blatche,2006,2014,F,11-Jun,235,8/22/1986,
Andre Barrett,2005,2008,G,10-May,172,2/21/1982,Seton Hall
Andre Brown,2007,2009,F,9-Jun,245,5/12/1981,DePaul
Andre Dawkins,2015,2015,G,5-Jun,215,9/19/1991,Duke
Andre Drummond,2013,2022,C,10-Jun,279,8/10/1993,UConn
Andre Emmett,2005,2012,F,5-Jun,230,8/27/1982,Texas Tech
Andre Iguodala,2005,2022,G-F,6-Jun,215,1/28/1984,Arizona
Andre Ingram,2018,2019,G,3-Jun,190,11/19/1985,American University
Andre McCarter,1977,1981,G,3-Jun,190,8/25/1953,UCLA
Andre Miller,2000,2016,G,3-Jun,200,3/19/1976,Utah
Andre Moore,1988,1988,F,9-Jun,215,7/2/1964,Loyola Chicago
Andre Owens,2006,2008,G,4-Jun,200,10/31/1980,"Indiana, Houston"
Andre Roberson,2014,2021,G-F,7-Jun,210,12/4/1991,Colorado
Andre Spencer,1993,1994,F,6-Jun,210,7/20/1964,Northern Arizona University
Andre Turner,1987,1992,G,11-May,160,12/13/1964,Memphis
Andre Wakefield,1979,1980,G,3-Jun,175,1/11/1955,Loyola Chicago
Andrea Bargnani,2007,2016,F-C,1-Jul,245,10/26/1985,
Andreas Glyniadakis,2007,2007,C,1-Jul,280,8/21/1981,
Andrei Kirilenko,2002,2015,F,9-Jun,220,2/18/1981,
Andrew Anderson,1968,1970,G,2-Jun,184,7/6/1945,Canisius
Andrew Bogut,2006,2019,C,1-Jul,260,11/28/1984,Utah
Andrew Bynum,2006,2014,C,1-Jul,285,10/27/1987,
Andrew DeClercq,1996,2005,F-C,10-Jun,230,2/1/1973,Florida
Andrew Gaze,1994,1999,G,7-Jun,205,7/24/1965,Seton Hall
Andrew Goudelock,2012,2016,G,3-Jun,200,12/7/1988,College of Charleston
Andrew Harrison,2017,2019,G,6-Jun,213,10/28/1994,Kentucky
Andrew Lang,1989,2000,C,11-Jun,245,6/28/1966,Arkansas
Andrew Levane,1949,1953,F-G,2-Jun,190,4/11/1920,St. John's
Andrew Nicholson,2013,2017,F,9-Jun,250,12/8/1989,St. Bonaventure
Andrew Toney,1981,1988,G,3-Jun,178,11/23/1957,Louisiana
Andrew White,2018,2018,G,7-Jun,210,6/16/1993,"Nebraska, Syracuse"
Andrew Wiggins,2015,2022,F-G,7-Jun,197,2/23/1995,Kansas
Andy Duncan,1949,1951,F-C,6-Jun,195,4/17/1922,William & Mary
Andy Johnson,1959,1962,F-G,5-Jun,215,11/8/1932,University of Portland
Andy Kostecka,1949,1949,F,3-Jun,203,2/10/1921,Georgetown
Andy O'Donnell,1950,1950,G,1-Jun,180,3/10/1925,Loyola (MD)
Andy Panko,2001,2001,F,9-Jun,222,11/27/1977,Lebanon Valley College
Andy Phillip,1948,1958,G-F,2-Jun,195,3/7/1922,Illinois
Andy Rautins,2011,2011,G,4-Jun,190,11/2/1986,Syracuse
Andy Tonkovich,1949,1949,G,1-Jun,185,11/1/1922,Marshall
Andy Toolson,1991,1996,G-F,6-Jun,210,1/19/1966,BYU
Andy Walker,1977,1977,G,4-Jun,190,3/25/1955,Niagara University
Anfernee Hardaway,1994,2008,G-F,7-Jun,195,7/18/1971,Memphis
Anfernee Simons,2019,2022,G,3-Jun,181,6/8/1999,
Angelo Musi,1947,1949,G,9-May,145,7/25/1918,Temple
Ansley Truitt,1973,1973,C,9-Jun,215,8/24/1950,California
Ansu Sesay,2002,2005,F,9-Jun,225,7/29/1976,Ole Miss
Antawn Jamison,1999,2014,F,8-Jun,223,6/12/1976,UNC
Anthony Avent,1993,2000,F,9-Jun,235,10/18/1969,Seton Hall
Anthony Bennett,2014,2017,F,8-Jun,245,3/14/1993,UNLV
Anthony Bonner,1991,1996,F,8-Jun,215,6/8/1968,Saint Louis
Anthony Bowie,1989,1998,G-F,6-Jun,190,11/9/1963,Oklahoma
Anthony Brown,2016,2018,F-G,7-Jun,210,10/10/1992,Stanford
Anthony Carter,2000,2012,G,1-Jun,190,6/16/1975,Hawaii
Anthony Cook,1991,1996,F-C,9-Jun,205,3/19/1967,Arizona
Anthony Davis,2013,2022,F-C,10-Jun,253,3/11/1993,Kentucky
Anthony Edwards,2021,2022,G,4-Jun,225,8/5/2001,Georgia
Anthony Frederick,1989,1992,F,7-Jun,205,12/7/1964,Pepperdine
Anthony Gill,2021,2022,F,7-Jun,230,10/17/1992,"South Carolina, Virginia"
Anthony Goldwire,1996,2006,G,1-Jun,182,9/6/1971,Houston
Anthony Grundy,2006,2006,G,3-Jun,180,4/15/1979,NC State
Anthony Johnson,1998,2010,G,3-Jun,190,10/2/1974,College of Charleston
Anthony Jones,1987,1990,G-F,6-Jun,195,9/13/1962,"Georgetown, UNLV"
Anthony Lamb,2021,2022,F,6-Jun,227,1/20/1998,University of Vermont
Anthony Mason,1990,2003,F,7-Jun,250,12/14/1966,Tennessee State
Anthony Miller,1995,2005,F,9-Jun,225,10/22/1971,Michigan State
Anthony Morrow,2009,2017,G,5-Jun,210,9/27/1985,Georgia Tech
Anthony Parker,1998,2012,G,6-Jun,215,6/19/1975,Bradley
Anthony Peeler,1993,2005,G,4-Jun,208,11/25/1969,Missouri
Anthony Pullard,1993,1993,F,10-Jun,245,6/23/1966,McNeese State University
Anthony Randolph,2009,2014,F,10-Jun,205,7/15/1989,LSU
Anthony Roberson,2006,2009,G,2-Jun,180,2/14/1983,Florida
Anthony Roberts,1978,1984,F-G,5-Jun,185,4/15/1955,Oral Roberts
Anthony Taylor,1989,1989,G,4-Jun,175,11/30/1965,Oregon
Anthony Tolliver,2009,2021,F-C,8-Jun,240,6/1/1985,Creighton
Anthony Tucker,1995,1995,F,8-Jun,220,4/4/1969,"Georgetown, Wake Forest"
Antoine Carr,1985,2000,F-C,9-Jun,225,7/23/1961,Wichita State
Antoine Rigaudeau,2003,2003,G,7-Jun,210,12/17/1971,
Antoine Walker,1997,2008,F,8-Jun,224,8/12/1976,Kentucky
Antoine Wright,2006,2011,G-F,7-Jun,210,2/6/1984,Texas A&M
Antonio Anderson,2010,2010,G,6-Jun,215,6/5/1985,Memphis
Antonio Blakeney,2018,2019,G,4-Jun,192,10/4/1996,LSU
Antonio Burks,2005,2006,G,1-Jun,200,2/25/1980,Memphis
Antonio Daniels,1998,2011,G,4-Jun,195,3/19/1975,Bowling Green
Antonio Davis,1994,2006,F-C,9-Jun,215,10/31/1968,Texas-El Paso
Antonio Harvey,1994,2003,F-C,11-Jun,225,7/6/1970,"Southern Illinois, Georgia, Pfeiffer University"
Antonio Lang,1995,2000,F-G,8-Jun,205,5/15/1972,Duke
Antonio McDyess,1996,2011,F-C,9-Jun,220,9/7/1974,Alabama
Antonis Fotsis,2002,2002,F,10-Jun,219,4/1/1981,
Antonius Cleveland,2018,2020,G,5-Jun,195,2/2/1994,SE Missouri State
Archie Clark,1967,1976,G,2-Jun,175,7/15/1941,Minnesota
Archie Dees,1959,1962,F-C,8-Jun,205,2/22/1936,Indiana
Archie Goodwin,2014,2017,G,5-Jun,200,8/17/1994,Kentucky
Ariel Maughan,1947,1951,F,4-Jun,190,2/23/1923,Utah State University
Arinze Onuaku,2014,2017,C,9-Jun,255,7/13/1987,Syracuse
Armand Cure,1947,1947,F,1-Jun,198,8/1/1919,Rhode Island
Armen Gilliam,1988,2000,F-C,9-Jun,230,5/28/1964,UNLV
Armon Johnson,2011,2012,G,3-Jun,195,2/23/1989,Nevada
Armond Hill,1977,1984,G,4-Jun,190,3/31/1953,Princeton
Armoni Brooks,2021,2022,G,3-Jun,195,6/5/1998,Houston
Arnett Moultrie,2013,2014,F,11-Jun,249,11/18/1990,"Texas-El Paso, Mississippi State"
Arnie Ferrin,1949,1951,F-G,2-Jun,180,7/29/1925,Utah
Arnie Johnson,1949,1953,F-C,5-Jun,236,5/16/1920,Bemidji State University
Arnie Risen,1949,1958,C-F,9-Jun,200,10/9/1924,Ohio State
Arnoldas Kulboka,2022,2022,F,9-Jun,198,1/4/1998,
Aron Baynes,2013,2021,C,10-Jun,260,12/9/1986,Washington State
Arron Afflalo,2008,2018,G-F,5-Jun,210,10/15/1985,UCLA
Art Burris,1951,1952,F,5-Jun,220,4/7/1924,Tennessee
Art Collins,1981,1981,G,4-Jun,185,4/14/1954,St. Thomas University
Art Harris,1969,1972,G,4-Jun,185,1/13/1947,Stanford
Art Heyman,1964,1970,F-G,5-Jun,205,6/24/1941,Duke
Art Hillhouse,1947,1948,C,7-Jun,220,6/12/1916,Long Island University
Art Long,2001,2003,F-C,9-Jun,250,10/1/1972,Cincinnati
Art Spector,1947,1950,F,4-Jun,200,10/17/1920,Villanova
Art Spoelstra,1955,1958,C,9-Jun,220,9/11/1932,Western Kentucky
Art Stolkey,1947,1947,G,1-Jun,180,10/23/1920,Detroit Mercy
Art Williams,1968,1975,G,1-Jun,180,9/29/1939,Cal Poly Pomona
Arthur Becker,1968,1973,F,7-Jun,205,1/12/1942,Arizona State
Artis Gilmore,1972,1988,C,2-Jul,240,9/21/1949,"Gardner-Webb University, Jacksonville University"
Arvesta Kelly,1968,1972,G,2-Jun,175,11/20/1945,Lincoln University of Missouri
Arvid Kramer,1980,1980,C,9-Jun,220,10/2/1956,Augustana College (SD)
Arvydas Macijauskas,2006,2006,G,4-Jun,214,1/19/1980,
Arvydas Sabonis,1996,2003,C,3-Jul,279,12/19/1964,
Ashraf Amaya,1996,1997,F,8-Jun,230,11/23/1971,Southern Illinois
Ashton Hagans,2021,2021,G,3-Jun,190,7/8/1999,Kentucky
Askia Jones,1995,1995,G,5-Jun,200,12/3/1971,Kansas State
Aubrey Davis,1947,1947,G-F,2-Jun,175,3/28/1921,Oklahoma Baptist University
Aud Brindley,1947,1947,F,4-Jun,175,12/31/1923,Dartmouth College
Audie Norris,1983,1985,C,9-Jun,230,12/18/1960,Jackson State University
Aulcie Perry,1975,1975,C,10-Jun,210,7/3/1950,Bethune-Cookman College
Austin Carr,1972,1981,G,4-Jun,200,3/10/1948,Notre Dame
Austin Croshere,1998,2009,F,9-Jun,235,5/1/1975,Providence
Austin Daye,2010,2015,F,11-Jun,220,6/5/1988,Gonzaga
Austin Reaves,2022,2022,G,5-Jun,206,5/29/1998,"Wichita State, Oklahoma"
Austin Rivers,2013,2022,G,4-Jun,200,8/1/1992,Duke
Avery Bradley,2011,2022,G,3-Jun,180,11/26/1990,Texas
Avery Johnson,1989,2004,G,10-May,175,3/25/1965,"Cameron University, Southern University and A&M College"
Awvee Storey,2005,2008,G-F,6-Jun,222,4/18/1977,"Illinois, Arizona State"
Axel Toupane,2016,2021,G-F,7-Jun,197,7/23/1992,
Ayo Dosunmu,2022,2022,G,5-Jun,200,1/17/2000,Illinois
B.J. Armstrong,1990,2000,G,2-Jun,175,9/9/1967,Iowa
B.J. Johnson,2019,2022,G,7-Jun,200,12/21/1995,"Syracuse, La Salle"
B.J. Tyler,1995,1995,G,1-Jun,185,4/30/1971,"DePaul, Texas"
Bailey Howell,1960,1971,F,7-Jun,210,1/20/1937,Mississippi State
Bam Adebayo,2018,2022,C-F,9-Jun,255,7/18/1997,Kentucky
Barney Cable,1959,1964,F,7-Jun,175,7/29/1935,Bradley
Baron Davis,2000,2012,G,3-Jun,209,4/13/1979,UCLA
Barry Clemens,1966,1976,F,6-Jun,210,5/1/1943,Ohio Wesleyan University
Barry Kramer,1965,1970,F-G,4-Jun,200,11/10/1942,NYU
Barry Leibowitz,1968,1968,G,2-Jun,180,9/10/1945,Long Island University
Barry Nelson,1972,1972,C,10-Jun,230,9/19/1949,Duquesne
Barry Orms,1969,1970,G,3-Jun,190,5/1/1946,Saint Louis
Barry Parkhill,1974,1976,G,4-Jun,185,5/10/1951,Virginia
Barry Stevens,1993,1993,G-F,5-Jun,195,1/17/1963,Iowa State
Barry Sumpter,1989,1989,F-C,11-Jun,215,11/11/1965,"Louisville, Austin Peay State University"
Barry Yates,1972,1972,F,7-Jun,215,1/30/1946,Maryland
Bart Kofoed,1988,1993,G,4-Jun,210,3/24/1964,"Hastings College, University of Nebraska at Kearney"
Bato Govedarica,1954,1954,G,11-May,185,4/17/1928,DePaul
Bayard Forrest,1978,1979,C,10-Jun,235,7/8/1954,Grand Canyon University
Belus Smawley,1947,1952,G-F,1-Jun,195,3/20/1918,Appalachian State University
Ben Bentil,2017,2017,F,9-Jun,235,3/29/1995,Providence
Ben Clyde,1975,1975,F,7-Jun,198,6/10/1951,Florida State
Ben Coleman,1987,1994,F,9-Jun,235,11/14/1961,"Minnesota, Maryland"
Ben Davis,1997,2000,F,9-Jun,240,12/26/1972,"Kansas, Arizona"
Ben Gillery,1989,1989,C,1-Jul,235,9/19/1965,Georgetown
Ben Goldfaden,1947,1947,F,1-Jun,185,9/6/1913,George Washington
Ben Gordon,2005,2015,G,3-Jun,200,4/4/1983,UConn
Ben Handlogten,2004,2005,C,10-Jun,240,11/16/1973,Western Michigan
Ben Hansbrough,2013,2013,G,3-Jun,203,12/23/1987,"Mississippi State, Notre Dame"
Ben Kelso,1974,1974,G,3-Jun,195,4/11/1949,Central Michigan University
Ben McDonald,1986,1989,F,8-Jun,210,7/20/1962,"University of California, Irvine"
Ben McLemore,2014,2022,G,3-Jun,195,2/11/1993,Kansas
Ben Moore,2018,2018,F,8-Jun,220,5/13/1995,SMU
Ben Poquette,1978,1987,F-C,9-Jun,235,5/7/1955,Central Michigan University
Ben Schadler,1948,1948,F,1-Jun,185,3/9/1924,Northwestern
Ben Scharnus,1947,1949,F,2-Jun,173,12/11/1917,Seton Hall
Ben Simmons,2018,2021,G-F,11-Jun,240,7/20/1996,LSU
Ben Uzoh,2011,2012,G,3-Jun,205,3/19/1988,Tulsa
Ben Wallace,1997,2012,F-C,9-Jun,240,9/10/1974,Virginia Union University
Ben Warley,1963,1970,F-G,5-Jun,200,9/4/1936,Tennessee State
Bennie Swain,1959,1959,F,8-Jun,220,12/16/1933,Texas Southern
Beno Udrih,2005,2017,G,3-Jun,205,7/5/1982,
Benoit Benjamin,1986,2000,C,1-Jul,250,11/22/1964,Creighton
Bernard James,2013,2015,C,10-Jun,240,2/7/1985,Florida State
Bernard King,1978,1993,F,7-Jun,205,12/4/1956,Tennessee
Bernard Robinson,2005,2007,G-F,6-Jun,210,12/26/1980,Michigan
Bernard Thompson,1985,1989,F-G,6-Jun,210,8/30/1962,Fresno State
Bernard Toone,1980,1980,F,9-Jun,210,7/14/1956,Marquette
Bernie Fryer,1974,1975,G,3-Jun,185,12/25/1949,BYU
Bernie Harris,1975,1975,F,10-Jun,200,11/26/1950,VCU
Bernie Williams,1970,1974,G,3-Jun,175,12/30/1945,La Salle
Bert Cook,1955,1955,G-F,3-Jun,185,4/26/1929,Utah State University
Bevo Nordmann,1962,1965,C,10-Jun,225,12/11/1939,Saint Louis
Bill Allen,1968,1968,C-F,8-Jun,205,,New Mexico State
Bill Bolger,1954,1954,F,5-Jun,205,8/21/1931,Georgetown
Bill Bradley,1968,1968,G,11-May,165,6/16/1941,
Bill Bradley,1968,1977,F-G,5-Jun,205,7/28/1943,Princeton
Bill Bridges,1963,1975,F-C,6-Jun,228,4/4/1939,Kansas
Bill Buntin,1966,1966,C-F,7-Jun,250,5/5/1942,Michigan
Bill Bunting,1970,1972,F-C,8-Jun,200,8/26/1947,UNC
Bill Calhoun,1949,1955,F-G,3-Jun,180,11/4/1927,City College of San Francisco
Bill Cartwright,1980,1995,C,1-Jul,245,7/30/1957,San Francisco
Bill Chamberlain,1973,1974,F,6-Jun,188,12/16/1949,UNC
Bill Closs,1950,1952,F-C,5-Jun,195,1/8/1922,Rice University
Bill Crow,1968,1968,G,1-Jun,180,12/9/1940,"Cerritos College, BYU, Westminster College of Utah"
Bill Curley,1995,2001,F,9-Jun,220,5/29/1972,Boston College
Bill Davis,1947,1947,F,3-Jun,215,10/3/1920,Notre Dame
Bill Dinwiddie,1968,1972,F,7-Jun,220,7/15/1943,New Mexico Highlands University
Bill Downey,1948,1948,C,6-Jun,210,11/11/1923,Marquette
Bill Ebben,1958,1958,G,4-Jun,190,10/7/1935,Detroit Mercy
Bill Edwards,1994,1994,F,8-Jun,215,9/22/1971,Wright State University
Bill Gabor,1950,1955,G-F,11-May,170,5/13/1922,Syracuse
Bill Gaines,1969,1969,G,4-Jun,185,3/10/1946,Texas A&M University-Commerce
Bill Garner,1968,1968,C,10-Jun,220,6/17/1940,University of Portland
Bill Garnett,1983,1986,F,9-Jun,225,4/22/1960,Wyoming
Bill Hanzlik,1981,1990,G-F,7-Jun,185,12/6/1957,Notre Dame
Bill Henry,1949,1950,C,9-Jun,215,12/27/1924,Rice University
Bill Herman,1950,1950,G,3-Jun,170,5/17/1924,Mount Union College
Bill Hewitt,1969,1975,F,7-Jun,210,8/8/1944,USC
Bill Higgins,1975,1975,G,2-Jun,180,12/15/1952,Ashland University
Bill Hosket,1969,1972,F-C,8-Jun,225,12/20/1946,Ohio State
Bill Jones,1989,1989,F,7-Jun,175,3/18/1966,Iowa
Bill Keller,1970,1976,G,10-May,177,8/30/1947,Purdue
Bill Laimbeer,1981,1994,C,11-Jun,245,5/19/1957,Notre Dame
Bill Ligon,1975,1975,G,4-Jun,180,5/29/1952,Vanderbilt
Bill Martin,1986,1988,F,7-Jun,205,8/16/1962,Georgetown
